Hello!	Nǐ hǎo!	你好！
Where is your cell phone?	Nǐde shǒujī zài nǎli?	你的手机在哪里？
Excuse me, do you have a cell phone?	Qǐngwèn, nǐ yǒu shǒujī ma?	请问,你有手机吗？
This is a cell phone.	Zhè shì shǒujī.	这是手机。
Do you have a cell phone?	Nǐ yǒu shǒujī ma?	你有手机吗？
Where is the cell phone?	Shǒujī zài nǎli?	手机在哪里？
Where can I buy a cell phone?	Nǎli kěyǐ mǎi shǒujī?	哪里可以买手机？
I have a cell phone.	Wǒ yǒu shǒujī.	我有手机。
Is that clear?	Qīngchu le ma?	清楚了吗？
His writes characters very clearly.	Tā de zì xiě de hěn qīngchu. (also ta zi xie ...)	他的字写得很清楚。
He's just left the company.	Tā gāng líkāi gōngsī.	他刚离开公司。
He has just left home.	tā gāng líkāi jiā .	他刚离开家。
He just returned home.	tā gāng huídào jiā .	他刚回到家。
He and you both come from China.	Tā hé nǐ yīyàng lái zì Zhōngguó. (also yiyang-&gt;liang ge dou)	他和你一样来自中国。
What time does she go to work?	Tā jǐdiǎn shàngbān?	她几点上班？
He is the best student in our class.	Tā shì wǒmen bān zuì hǎode xuésheng.<div>(Also zai) (Also shang or li)</div>	他是我们班最好的学生。
Did you find me about something?	Nǐ zhǎo wǒ yǒu shì ma?	你找我有事吗？
Open your book.	Dǎkāi nǐde shū.	打开你的书。
Did anyone call me while I was out?	wǒ chūqù de shíhou yǒu rén dǎ wǒ diànhuà ma ?	我出去的时候有人打我电话吗？
This question is very simple.	Zhè gè wèntí hěn jiǎndān.	这个问题很简单。
Elsewhere, it's not that simple.	chúle zhèli, méi nàme jiǎndān.<div>(also mei you)</div>	除了这里，没那么简单。
The teacher teaches English to us.	Lǎoshī jiāo wǒmen Yīngwén.	老师教我们英文。
I teach English at a university.	Wǒ zài dàxué jiāo Yīngwén.	我在大学教英文。
I would like to teach history.	Wǒ xiǎng jiāo lìshǐ.	我想教历史。
Do you teach English?	Nǐ jiāo Yīngwén ma?	你教英文吗？
She teaches the Chinese language.	Tā jiāo Zhōngwén.	她教中文。
I teach the Chinese language.	Wǒ jiāo Zhōngwén.	我教中文。
My friend teaches Chinese.	Wǒde péngyou jiāo Zhōngwén.	我的朋友教中文。
Who taught her how to speak English?	shì shéi jiāo tā zěnme shuō yīngyǔ de ?	是谁教她怎么说英语的？
You must start at once.	nǐ bìxū mǎshàng kāishǐ .	你必须马上开始。
The exam needs to start very soon.	Mǎshàng yào jìnxíng kǎoshì. (also kaishi)	马上要进行考试。
Mom works in a hospital.	Māma zài yīyuàn gōngzuò.	妈妈在医院工作。
Please don't cry.	qǐng nǐ bùyào kū .	请你不要哭。
I want to cry.	wǒ xiǎng kū .	我想哭。
I'll tell you directly, ok?	Wǒ zhíjiē gàosu nǐ ba!	我直接告诉你吧！
How are you lately?	Zuìjìn hǎo ma?	最近好吗？
You need to believe in your own ability.	Nǐ yào xiāngxìn zìjǐ de nénglì.	你要相信自己的能力。
He succeeded.	Tā chénggōng le.	他成功了。
He wishes that he already succeeded.	tā xīwàng yǐjīng chénggōng le .	他希望已经成功了。
I am sure that he will be successful (at sth).	wǒ kěndìng tā huì chénggōng de. (also que ding)	我肯定他会成功的。
My mother is very busy.	Māma hěn máng.	妈妈很忙。
My papa is busy.	wǒ bàba hěn máng .	我爸爸很忙。
Are you busy today?	nǐ jīntiān máng ma ?	你今天忙吗？
Do you need my help? (with your undertaking)	Xūyào wǒ bāng nǐ de máng ma?	需要我帮你的忙吗？
She needs help.	Tā xūyào bāngzhù.	她需要帮助。
I love my mother.	Wǒ ài wǒ de mǔqin.	我爱我的母亲。
Her mother will continue to work.	tā mǔqīn jiāng jìxù gōngzuò . (also yao4)	她母亲将继续工作。
You should study hard.	Nǐ yīnggāi nǔlì xuéxí.	你应该努力学习。
Chinese people work very hard.	Zhōngguórén gōngzuò hěn nǔlì.	中国人工作很努力。
He doesn't work hard.	Tā bù nǔlì gōngzuò.	他不努力工作。
He works very hard.	tā nǔlì gōngzuò .	他努力工作。
You worked too hard.	nǐ gōngzuò tài nǔlì le. (also ni tai nuli gongzuo le)	你工作太努力了。
You are too good, Willie answered.	nǐ tài hǎo le .Willie huídá dào .	“你太好了。”Willie回答道。
Each of them is very hard-working.	Tāmen měi gè rén dōu hěn nǔlì.	他们每个人都很努力。
I didn't know about this matter.	Wǒ bù zhīdào zhè jiàn shì.	我不知道这件事。
I don't know, and I don't want to.	wǒ bùzhī dào , yě bù xiǎng zhīdào .	我不知道，也不想知道。
How can you not know?	nǐ zěnme huì bù zhīdào ?	你怎么会不知道？
I don't know if I still have it.	wǒ bùzhī dào wǒ hái yǒu méiyǒu .	我不知道我还有没有。
Do I have any other options?	wǒ hái yǒu qítā xuǎnzé ma? (also qita de)	我还有其他选择吗？
I don't know what I should do anymore!	wǒ zàiyě bù zhīdào gāi zuò shénme le.	我再也不知道该做什么了。
Will you come to China again?<br />Maybe.	Nǐ huì zài lái Zhōngguó ma?<br />Kěnéng.	A你会再来中国吗？<br/>B可能。
If he put in just a little more effort, he might have already succeeded.	rúguǒ tā zài nǔlì yīdiǎn, jiù kěnéng yǐjīng chénggōng le .	如果他再努力一点，就可能已经成功了。
Something might have happened to her.	tā kěnéng chū shénme shì le. (also fasheng)	她可能出什么事了。
You may have heard.	nǐ kěnéng tīngshuō guò .	你可能听说过。
If at that time, he had worked a little harder, he would have succeeded.	rúguǒ tā dāngshí zài nǔlì yīdiǎn, tā jiù chénggōng le.	如果他当时再努力一点，他就成功了。
Please come to my home.	Qǐng lái wǒ de jiālǐ.	请来我的家里。
This (exam/homework problem) is very difficult.	Zhè dào tí hěn nán.	这道题很难。
Of course it's not a problem!	Dāngrán, méi wèntí!	当然，没问题！
She told me that her mother had bought it for her.	tā gàosu wǒ tā māma mǎi gěi tā le .	她告诉我她妈妈买给她了。
What's the date today?	Jīntiān jǐ yuè jǐ rì?	今天几月几日？
What month is next month?	Xià gè yuè shì jǐ yuè?	下个月是几月？
She'll give birth next month.	Tā xià gè yuè shēng háizi.	她下个月生孩子。
That company shut down.	Nà jiā gōngsī dǎo le.	那家公司倒了。
May I ask a few questions?	wǒ néng wèn yīxiē wèntí ma ?	我能问一些问题吗？
When she comes back you can ask her	děng tā huílai de shíhou wèn wèn tā .	等她回来的时候问问她。
I have been waiting for a friend of mine for an hour.	wǒ děng wǒ de yī ge péngyou děng le yī xiǎoshí .	我等我的一个朋友等了一小时。
I can only wait.	wǒ zhǐ néng děng le. (also zhihao)	我只能等了。
American history is not interesting.	Měiguó lìshǐ méi yǒu yìsi.	美国历史没有意思。
I want to know what this phrase/sentence means.	wǒ xiǎng zhīdào zhèjùhuà de yìsi .	我想知道这句话的意思。
This novel is not interesting.	Zhè běn xiǎoshuō méi yǒu yìsi.	这本小说没有意思。
Did you guys understand what I mean?	Nǐmen míngbai wǒ de yìsi le ma? (no le ok)	你们明白我的意思了吗？
I'll tell you guys a story.	Wǒ gěi nǐmen jiǎng yī gè gùshi.	我给你们讲一个故事。
Nobody deeply understands me.	méi yǒu rén lǐjiě wǒ .	没有人理解我。
I teach English at a high school.	Wǒ zài gāozhōng jiāo Yīngwén.	我在高中教英文。
I already asked everyone.	Wǒ yǐjīng wèn guò měi yī gè rén le.	我已经问过每一个人了。
Other than me, there was no one there.	nàr, chúle wǒ, yī gè rén dōu méiyǒu .	那儿除了我，一个人都没有。
And, yours is over there.	nǐ de zài nàr ne.	你的在那儿呢。
I have several dozens of them.	wǒ yǒu hǎojǐ dá&nbsp;ne .	我有好几打呢。
You should decide whether we will go there or not.	gāi yóu nǐ lái juédìng wǒmen qù bù qù nàr .	该由你来决定我们去不去那儿。
I just want to love one person really well.	Wǒ zhǐ xiǎng hǎohǎo ài yī gè rén.	我只想好好儿爱一个人。
Work really hard, and you can pass the examination.	hǎohǎo nǔlì, nǐ jiù néng tōngguò kǎoshì .	好好努力，你就能通过考试。
This is my room.	Zhè shì wǒ de fángjiān.	这是我的房间。
Don't look into my room.	bùyào wǎng wǒ fángjiān lǐ kàn. (also xiang4)	不要往我房间里看。
I am going back to my room☺, I can study there.	wǒ yào huí fángjiān le, zài nàr wǒ kěyǐ xuéxí.	我要回房间了，在那儿我可以学习。
What is my room number?	wǒ de fángjiān hào shì duōshao?	我的房间号是多少？
He knows this teacher. (polite)	Tā rènshi zhè wèi lǎoshī.	他认识这位老师。
Do you know the teacher?	Nǐ rènshi zhèwèi lǎoshī ma?	你认识这位老师吗？
I want to see this movie.	wǒ xiǎng kàn zhè bù diànyǐng .	我想看这部电影。
He will go buy a television.	Tā yào qù mǎi diànshì.	他要去买电视。
Do you like to watch TV?	Nǐ xǐhuan kàn diànshì ma?	你喜欢看电视吗？
I don't like to watch TV.	Wǒ bù xǐhuan kàn diànshì.	我不喜欢看电视。
Nobody believes what I say. <br /> Nobody believed what I said.	méiyǒurén xiāngxìn wǒ shuō dehuà .	没有人相信我说的话。
This is your computer.	Zhè shì nǐ de diànnǎo.	这是你的电脑。
Whose computer is this?	Zhè shì shéi de diànnǎo?	这是谁的电脑？
This is a secondary problem.	Zhè shì cìyào de wèntí.	这是次要的问题。
She is a doctor.	tā shì yīshēng. (also yi wèi/míng)	她是医生。
Are you a doctor?<br />No, I'm not. I'm a teacher.	Nǐ shì yīshēng ma?<br />Bú shì. Wǒ shì lǎoshī.	A你是医生吗?<br/>B不是。我是老师。
We arrived here fast, didn't we?	wǒmen hěn kuài jiù dào zhèr le, bù shì ma?	我们很快就到这儿了，不是吗？
You can buy whichever you like, but not both.	nǐ kěyǐ mǎi nǐ xǐhuān de nà ge , ér bù shì liǎng ge dōu mǎi .	你可以买你喜欢的那个，而不是两个都买。
If I had known sooner that were you here, I would have come at once.	rúguǒ wǒ zǎo zhīdào nǐ zài zhèr dehuà, wǒ mǎshàng jiù lái le.<div>(also wo jiu mashang...)</div>	如果我早知道你在这儿的话，我马上就来了。
If I had known earlier, I wouldn't have talked with her like this.	rúguǒ wǒ zǎo zhīdào, wǒ bù huì gēn tā shuō zhèzhǒng huà .	如果我早知道，我不会跟她说这种话。
What study method do you use?	Nǐ yòng shénme fāngfǎ xuéxí?	你用什么方法学习？
Let me introduce my good friend.	Ràng wǒ jièshào yīxià wǒ de hǎopéngyou.	让我介绍一下我的好朋友。
He's got an opportunity.	Tā huòdé le yī gè jīhuì.	他获得了一个机会。
She's just bought a car.	Tā gāng mǎile yī liàng chē.	她刚买了一辆车。
Next month is February.	Xià gè yuè shì èryuè.	下个月是二月。
The teacher cannot have said such a thing.	lǎoshī bù kěnéng shuō guò zhè yàng de shì .	老师不可能说过这样的事。
Everyone, please do some research on this problem.	Zhè gè wèntí, qǐng dàjiā yánjiū yīxià.	这个问题，请大家研究一下。
Yesterday, he left Beijing and went to Shanghai.	Zuótiān tā líkāi Běijīng qù Shànghǎi le.	昨天他离开北京去上海了。
They saw a movie yesterday.	Tāmen zuótiān kàn diànyǐng le.	他们昨天看电影了。
Was Ken at home yesterday?	Ken zuótiān zài jiā ma ?	Ken昨天在家吗？
She saw a big, tall man yesterday.	tā zuótiān kànjiàn yī ge gāodà de nánrén .	她昨天看见一个高大的男人。
Please be seated.	Qǐng zuò.	请坐。
She likes little dogs.	Tā xǐhuan xiǎo gǒu.	她喜欢小狗。
That dog is very cute.	Nà zhī gǒu hěn kě'ài.	那只狗很可爱。
I have a little dog.	Wǒ yǒu yī zhī xiǎo gǒu.	我有一只小狗。
Ken's dog is very big.	Ken de gǒu hěn dà .	Ken的狗很大。
These two little dogs are really cute.	Zhè liǎng zhī xiǎo gǒu zhēn kě'ài. (no zhexie, because you know it's 2)	这两只小狗真可爱。
How old is she this year?	Tā jīnnián jǐ suì le?	她今年几岁了？
They went to see a love movie.	Tāmen qù kàn le yī bù àiqíng diànyǐng.	他们去看了一部爱情电影。
Everybody plays the game of love.	dàjiā dōu wán àiqíng yóuxì .	大家都玩爱情游戏。
Thank you!	Xièxie nín.	谢谢您。
Thanks for your answer. (polite)	Xièxie nín de huídá.	谢谢您的回答。
Thank you for your help. (polite)	Xièxie nín de bāngzhù.	谢谢您的帮助。
"""Thank you for helping me."" ""It's nothing"""	xièxie nǐ bāng le wǒ. méi shénme.	“谢谢你帮了我。”“没什么。”
Without you, I couldn't have done it. Thank you.	méiyǒu nǐ, wǒ wúfǎ zuòdào, xièxie .	没有你我无法做到，谢谢。
I can't believe my eyes.	wǒ wúfǎ xiāngxìn zìjǐ de yǎnjing .	我无法相信自己的眼睛。
Such a method will not solve this problem.	Zhè zhǒng bànfǎ wúfǎ jiějué zhè gè wèntí.	这种办法无法解决这个问题。
He is a professor.	Tā shì jiàoshòu.	他是教授。
Let me know if I need to make any changes.	ràng wǒ zhīdào wǒ shìfǒu xūyào gǎibiàn .	让我知道我是否需要改变。
I don't understand Chinese.	Wǒ bù dǒng Zhōngwén.	我不懂中文。
I don't understand what the teacher says.	Wǒ tīng bù dǒng lǎoshī shuōde huà.	我听不懂老师说的话。
I don't understand what he's saying.	Wǒ tīng bù dǒng tā shuōde huà.	我听不懂他说的话。
I understand.	Wǒ dǒng le.	我懂了。
I understand.	Wǒ dǒng le.	我懂了。
I sort of understand.	wǒ dàgài dǒng le. (also ming bai)	我大概懂了。
Someone went in.	Yǒu rén jìnqù le.	有人进去了。
Let me in.	ràng wǒ jìnqù .	让我进去。
I dropped/lost my money.	Wǒde qián diào le.	我的钱掉了。
You finally gonna go, or not?	Nǐ dàodǐ qù bu qù?	你到底去不去？
This matter is finally solved.	Zhè jiàn shìqing dàodǐ shì jiějué le.	这件事情到底是解决了。
There are only two people who know this matter.	Zhǐ yǒu liǎngge rén zhīdào zhèjiàn shìqing.	只有两个人知道这件事情。
He runs very fast.	Tā pǎo de hěn kuài.	他跑得很快。
That student runs fast, doesn't he?	nà ge xuésheng pǎo de hěn kuài, bù shì ma ?	那个学生跑得很快，不是吗？
He runs really fast.	Tā pǎo de zhēn kuài.	他跑得真快。
Bill can run faster than Bob.	Bill pǎo de bǐ Bob kuài .	Bill跑得比Bob快。
This dog runs really really really fast!	zhè gǒu pǎo de duō kuài ā !	这狗跑得多快啊！
He ran as fast as he could.	tā pǎo de néng yǒu duō kuài jiù yǒu duō kuài .	他跑得能有多快就有多快。
I've run three miles.	Wǒ pǎole sān lǐlù.	我跑了3里路。
She ran one section of road.	Tā pǎo le yī duàn lù.	她跑了一段路。
Horses run really fast.	Mǎ pǎo de zhēn kuài.	马跑得真快。
Regardless of what was asked, she was able to answer.	bùguǎn wèn le shénme , tā dōu néng huídá .	不管问了什么，她都能回答。
Anybody is (in the general case) better than nobody.	bùguǎn shì shéi zǒng bǐ méi rén hǎo.	不管是谁总比没人好。
He has more money than he can spend.	tā yǒu huā bù wán de qián.	他有花不完的钱。
These flowers are very pretty.	Zhèxiē huā hěn piàoliang.	这些花很漂亮。
